,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
67,≥2)|male,ketogenic,decitabine,limit compliance with study requirement,total bilirubin x1.5 uln,mental health triggers,urinary catheter,outpatient hematologist agreement to screen,by,accepted operation of eye||sjögren's syndrome||-inclusion criteria,at the time the subject,>110 ms|second-,changed deliberately.||,,appearance,the informed consent form signed by patients and/or legal representatives must have been approved by the irb for the current study.|patients must have the ability and willingness to comply with study procedures.||,is unable or unwilling to provide informed consent,the patient is age 18 or over at time of study device implantation|patients who have undergone primary triathlon total knee arthroplasty in which simplex hv/simplex
68,ria:||men,cushing's disease,thyroid,cockcroft-gault formula);||adequate coagulation,car t cell treatment,quality-of-life questionnaires,er,absolute,failing to,study coagulopathy,at the time of written,> 37 u/l,2-3 days of the period|stage,,low risk,inability to provide informed consent due to cognitive impairment|inability to provide informed consent as unable to understand sufficient english,"additionally, patients must have fully recovered from all acute toxic effects of prior therapy.||note: cytoreduction with hydroxyurea","willing and able to give informed consent, can communicate in english|age between 18 and 65 years inclusive|live in england|bmi ≥27 kg/m2 or higher"
69,hours|pacemaker,metastatic repetitions,values.||belimumab,change usual diabetes regimen,recist v1.1 despite,ferromagnetic metallic implants,larger implants,pediatric neurologists,with the exception of the cancer under investigation in this study and,ridge,for 7 months after the final dose of study treatment|if,< 3.5 × 109/l,1.5 x or,,anticipated use,"patient informed of the implementation of the study, its objectives",unwilling to follow the study protocol|self-reporting usual engagement in activities that have a,signed written informed consent|subjects diagnosed with vulvovaginitis|presence of at least two subjective symptoms and two objective signs (
70,aging,alpha-interferon,mycophenolate mofetil|patients,special diet,eular criteria,imaging scans,auxiliary appliances,sedentary,compromises the affected,lower extremity.|prior history of surgery in the lower extremity.|neurologic or,in the last 8 weeks|children admitted to any,"7, 1997",more than 2 months,,enjoyment,"lack of demographic information, clinical history",being a nursing student|getting,the subject must fulfil all of the following inclusion criteria to be eligible for participation in the study unless otherwise
71,palsy|children,human t-lymphotropic virus type 1 (htlv-1) antibody,anti-resorptive drugs,breast cancer|patient,interferon-gamma release test,insulin therapy schemes later,screws,university medical center,applied to,stage iiia,during the above mentioned,8 mm||group 2:||with upper scleral,dose-expansion,,vulnerable persons|people,able and willing to give consent for the study prior to participation|be,unwilling to sign informed consent,hours|provided written and informed consent (patient or carer)||australia only||•
72,however,type 2 diabetes,ascorbic acid,family plan,hads,donor lymphocyte infusion,ibs,metatarsal bone .|fracture,ability,"study.|non-healing wound, ulcer",in 6 weeks before enrollment.|received attenuated,40 mg/day,two separate occasions)|creatinine clearance <50 ml/min,,likely to be pregnant.|6,inability or unwillingness of research participant or legal guardian/representative to give written informed consent.|current use of,"additionally, it should be noted that periodic abstinence (e.g., calendar, ovulation, symptothermal,",unwilling to give informed consent/ assent
73,fudan,enrolled.|bilateral hydronephrosis,alpha-receptor adrenergic agonists,fbss,painful arc test,thymomectomy,metal clips,skåne university hospital in lund and malmö,"in addition to the primary,",cervical,during the observation period|patients,≥18 years|superficial,80 g/day,,symptoms,availability of written informed consent of the patient to participate in the study;|patients,females)|pregnant or,the patient is known with
74,menopause|female,cases might,investigational immunoglobulin,signed the informed,ecg qt interval corrected,sle soc therapy,septal myectomy|restrictive,participate||study exit,lack of treatment for a major psychiatric disorder,requiring dialysis.|immune system,at least once|does not,10 - 15|volunteering to participate,more than 1 glass,,intention to become,inability to speak/understand the dutch language|severe psychiatric problems (history)|neurodegenerative disorders|substance abuse|severe cognitive comorbidity,"anemia|pregnant or lactating women|in addition to the above, those who","the patient is at least 18 years of age;|the patient has a confirmed grade 1-111 osteoarthritis of the cmg joint on clinical examination and x-ray;|the patient agrees to abstain from enrolment in any other clinical trials that will conflict or interfere with the interpretation of the results of this study, in the opinion of the investigator, for the duration of the study;|the patient is able to understand the aims and objectives of the trial and is willing to consent;|be willing and able to return for all study-related follow-up procedures;|if female"
75,consent|adults,her2-targeted therapy.-,angiotensin receptor blockers (arbs),risk calculator assessment a,bone marrow blasts,cholesterol-lowering,pacemakers,outpatient,not of,inclusive.|good general health,in the past 12 months.|having,≥ 60 to ≤ 89 ml/min/1.73 m^2|hemoglobin,≥ 7 days,,management plan,patient cannot have diaper needs)|significant medical,"additionally, patients of childbearing potential must continue",written consent to participate in the study|for women
76,patients.|both sexes,middle cerebral,anticholinergic agents|spravato,care for condition,promis-anxiety short,quality/quantity control criteria,implanted defibrillator,university hospital grenoble alpes.|living in france.||,not excluded,similar,for at least 6 weeks,more than 2 times the upper limits;|not well,≥1 episode,,progressed after,written informed consent according to ich/gcp (,"additionally, the",refusal to participate|patient under legal protection
77,both,limb ischaemia,lovastatin,progressed beyond first line,alt increased,reviews,ae associated,unclear,active,non-compressible vessels,their partner(s),<6years.|has access,power,,consulted for,months|ability to give informed consent||,if pre/perimenopausal,capable of giving informed consent|stated willingness to comply with all study procedures and availability for the duration of the study|male
78,ia:||male,peripheral vascular disease.|the participant,anticoagulation used,limit other interventions,"forced expiratory volume in 1s/forced vital capacity (fev1/fvc)<70% predicted, fev1<80 % predicted after bronchodilation corresponding to a global initiative on obstructive lung disease (gold)",optical coherence tomography (oct),ssr pet/ct|patients,completed weeks,new diagnosis,walled-off,within =< 28 days prior to registration).||,< 3 x institutional upper limit,exceed 140g per week,,unable to comply,university of michigan students,hypermagnesemia|women who are,agreed to participate in the study via the study's informed consent/assent process.||operational definition of latent rhd borderline rhd
